0
 DICOTOMICA  ARRAY39999247
 BST         ARRAY36074359
HASH TABLE ARRAY 2666793
HASH TABLE LINKED 2667432
1
 DICOTOMICA  ARRAY39999080
 BST         ARRAY38034136
HASH TABLE ARRAY 2665211
HASH TABLE LINKED 2664147
2
 DICOTOMICA  ARRAY39999253
 BST         ARRAY36776593
HASH TABLE ARRAY 2666777
HASH TABLE LINKED 2665258
3
 DICOTOMICA  ARRAY39999324
 BST         ARRAY36391477
HASH TABLE ARRAY 2666978
HASH TABLE LINKED 2664599
4
 DICOTOMICA  ARRAY39999284
 BST         ARRAY40127632
HASH TABLE ARRAY 2664817
HASH TABLE LINKED 2666515
5
 DICOTOMICA  ARRAY39999385
 BST         ARRAY35964902
HASH TABLE ARRAY 2669992
HASH TABLE LINKED 2668205
6
 DICOTOMICA  ARRAY39999280
 BST         ARRAY38878271
HASH TABLE ARRAY 2663678
HASH TABLE LINKED 2664017
7
 DICOTOMICA  ARRAY39999294
 BST         ARRAY37765488
HASH TABLE ARRAY 2668918
HASH TABLE LINKED 2665509
8
 DICOTOMICA  ARRAY39999184
 BST         ARRAY36431768
HASH TABLE ARRAY 2665403
HASH TABLE LINKED 2665949
9
 DICOTOMICA  ARRAY39999204
 BST         ARRAY36637789
HASH TABLE ARRAY 2665982
HASH TABLE LINKED 2666890
