0
DICOTOMICA 270866
HASH TABLE ARRAY 26660
1
DICOTOMICA 270967
HASH TABLE ARRAY 27094
2
DICOTOMICA 270981
HASH TABLE ARRAY 26723
3
DICOTOMICA 271003
HASH TABLE ARRAY 26448
4
DICOTOMICA 271112
HASH TABLE ARRAY 26794
5
DICOTOMICA 270821
HASH TABLE ARRAY 26342
6
DICOTOMICA 270895
HASH TABLE ARRAY 26654
7
DICOTOMICA 270975
HASH TABLE ARRAY 26946
8
DICOTOMICA 270845
HASH TABLE ARRAY 26872
9
DICOTOMICA 270802
HASH TABLE ARRAY 26898
